framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -434848, 0
examples/webrx, 105, 605960, 40
examples/foam, 6, 1242584, -2
examples/aurelia, 7, -1031480, 0
examples/react-backbone, 5, 744144, 0
examples/ractive, 105, -149664, 0
examples/atmajs, 17, -203296, 0
examples/exoskeleton, 5, -659216, 0
examples/sapui5, 5, -7920, 0
examples/angularjs-perf, 5, 784136, 0
examples/enyo_backbone, 9, 599536, 0
examples/extjs_deftjs, 30, 615360, 0
examples/rappidjs, 5, -25216, 0
examples/dijon, 5, 6640, 0
examples/olives, 5, 78176, 0
examples/puremvc, 5, 952256, 0
examples/kendo, 194, 1369864, 5
examples/duel/www, 5, 22040, 0
examples/somajs, 5, 69808, 0
examples/epitome, 3, 302736, 0
examples/sammyjs, 6, 424632, 0
examples/cujo/index.html, -13, 1327296, -4
examples/lavaca_require, 30, -745736, 0
examples/durandal, 2, -64744, 0
examples/somajs_require, 5, 895344, 0
examples/thorax_lumbar/public, 170, 46280, 0
examples/canjs_require, 5, 784784, 0
examples/knockoutjs_require, 5, 230144, 0
examples/backbone_require, 2, 858200, 0
examples/chaplin-brunch/public, 2, 42616, 0
examples/thorax, 175, 135344, 0
examples/reagent, 5, 660672, 0
examples/serenadejs, 5, 753512, 0
examples/typescript-angular, -15, 309672, 0
examples/typescript-backbone, 2, 369432, 0
examples/angular-dart/web, 4, 2570464, 0
examples/elm, 5, -646976, 0
examples/closure, 2, -482112, 0
examples/vanilladart/build/web, 5, 275072, 0
examples/spine, 5, 213824, 0
examples/troopjs_require, 8, -551232, 0
examples/backbone_marionette, 5, 466768, 0
examples/vue, 3, 33920, 0
examples/ampersand, 4, 902176, 0
examples/mithril, 5, 549152, 0
examples/dojo, 5, 422120, 0
examples/knockoutjs, 2, -102448, 0
examples/emberjs, 60, -1457024, 0
examples/angularjs, -15, 534336, 0
examples/backbone, 4, 1047184, 0
examples/canjs, 5, 983064, 0
examples/react, 5, 912416, 0
examples/flight, 11, -776632, 0
examples/angularjs_require, -15, -280808, 0
