framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1432960, 0
examples/webrx, 105, 896424, 40
examples/foam, -15, -205368, -7
examples/aurelia, 6, -1078888, 0
examples/react-backbone, 6, 538664, 0
examples/ractive, 105, -341448, 0
examples/atmajs, 20, 1122408, 0
examples/exoskeleton, 5, 61968, 0
examples/sapui5, 5, -93680, 0
examples/angularjs-perf, 5, 706808, 0
examples/enyo_backbone, 5, 916312, 0
examples/extjs_deftjs, 30, -368456, 0
examples/rappidjs, 5, 433944, 0
examples/dijon, 5, -237632, 0
examples/olives, 5, 461344, 0
examples/puremvc, 5, 618568, 0
examples/kendo, 195, -89032, 5
examples/duel/www, 5, 232464, 0
examples/somajs, 5, 42488, 0
examples/epitome, 3, 348400, 0
examples/sammyjs, 6, 95216, 0
examples/cujo/index.html, 23, 34760, 4
examples/lavaca_require, 30, 591352, 0
examples/durandal, 5, -99552, 0
examples/somajs_require, 5, 1301640, 0
examples/thorax_lumbar/public, 170, -362512, 0
examples/canjs_require, 5, 1073472, 0
examples/knockoutjs_require, 5, -843136, 0
examples/backbone_require, 2, 348352, 0
examples/chaplin-brunch/public, 5, 81264, 0
examples/thorax, 175, 544992, 0
examples/reagent, -9, 558136, 0
examples/serenadejs, 4, 201328, 0
examples/typescript-angular, -15, 24304, 0
examples/typescript-backbone, 2, -9672, 0
examples/angular-dart/web, 4, -2248216, 0
examples/elm, -18, -549640, 0
examples/closure, 5, 894456, 0
examples/vanilladart/build/web, 5, -158088, 0
examples/spine, 4, 618480, 0
examples/troopjs_require, 6, -276704, 0
examples/backbone_marionette, 5, -302104, 0
examples/vue, 5, -431584, 0
examples/ampersand, 4, 1456200, 0
examples/mithril, 5, -643184, 0
examples/dojo, 5, 372680, 0
examples/knockoutjs, 2, 435080, 0
examples/emberjs, 60, -1079312, 0
examples/angularjs, -17, 235472, 0
examples/backbone, 2, 306648, 0
examples/canjs, 5, 111232, 0
examples/react, 4, -228280, 0
examples/flight, 10, -692064, 0
examples/angularjs_require, -15, -137152, 0
