framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1450032, 0
examples/webrx, 105, 597840, 40
examples/foam, 5, 1048880, 0
examples/aurelia, 5, -270216, 0
examples/react-backbone, 5, 1134104, 0
examples/ractive, 105, 36056, 0
examples/atmajs, 17, 23064, 0
examples/exoskeleton, 5, -876624, 0
examples/sapui5, -10, -776776, 0
examples/angularjs-perf, -15, 796368, 0
examples/enyo_backbone, 5, 658640, 0
examples/extjs_deftjs, 30, -299408, 0
examples/rappidjs, 5, 582096, 0
examples/dijon, 5, 299528, 0
examples/olives, 2, 698576, 0
examples/puremvc, 5, -658248, 0
examples/kendo, 194, 1351744, 5
examples/duel/www, 5, 288288, 0
examples/somajs, 5, 92432, 0
examples/epitome, 3, 194664, 0
examples/sammyjs, 2, 146472, 0
examples/cujo/index.html, -12, 184000, -4
examples/lavaca_require, 59, -714504, 0
examples/durandal, 2, -38288, 0
examples/somajs_require, 5, 568056, 0
examples/thorax_lumbar/public, 168, 77800, 0
examples/canjs_require, 5, -57024, 0
examples/knockoutjs_require, 4, 499888, 0
examples/backbone_require, 3, 314576, 0
examples/chaplin-brunch/public, 5, 218016, 0
examples/thorax, 175, 132848, 0
examples/reagent, -9, 702840, 0
examples/serenadejs, 5, 1380120, 0
examples/typescript-angular, -15, 263640, 0
examples/typescript-backbone, 5, 533192, 0
examples/angular-dart/web, 5, -2417752, 0
examples/elm, 2, -285640, 0
examples/closure, 2, 325248, 0
examples/vanilladart/build/web, 5, 378872, 0
examples/spine, 4, 706704, 0
examples/troopjs_require, 8, 768048, 0
examples/backbone_marionette, 5, -664720, 0
examples/vue, 23, 573560, 0
examples/ampersand, 4, 580552, 0
examples/mithril, 5, 217160, 0
examples/dojo, 2, -176224, 0
examples/knockoutjs, 5, 304360, 0
examples/emberjs, 59, 54912, 0
examples/angularjs, -15, -518888, 0
examples/backbone, 2, 247064, 0
examples/canjs, 5, -180776, 0
examples/react, 6, 1180880, 0
examples/flight, 9, -506232, 0
examples/angularjs_require, -15, -329936, 0
