framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -440496, 0
examples/webrx, 105, 960240, 40
examples/foam, -11, -519640, -5
examples/aurelia, 5, -2656648, 0
examples/react-backbone, 5, 983520, 0
examples/ractive, 105, -52304, 0
examples/atmajs, 20, 571304, 0
examples/exoskeleton, 5, 147144, 0
examples/sapui5, 5, -525632, 0
examples/angularjs-perf, 5, 683720, 0
examples/enyo_backbone, 9, 634576, 0
examples/extjs_deftjs, 30, 6880, 0
examples/rappidjs, 5, 1064800, 0
examples/dijon, 5, 163816, 0
examples/olives, 5, 679416, 0
examples/puremvc, 5, 448528, 0
examples/kendo, 194, 219984, 5
examples/duel/www, 4, 257968, 0
examples/somajs, 5, 926288, 0
examples/epitome, 5, 741000, 0
examples/sammyjs, 9, 228240, 0
examples/cujo/index.html, 5, 235720, 0
examples/lavaca_require, 30, -941984, 0
examples/durandal, 2, -340128, 0
examples/somajs_require, 5, 976976, 0
examples/thorax_lumbar/public, 170, -733616, 0
examples/canjs_require, 5, 142536, 0
examples/knockoutjs_require, 5, 152944, 0
examples/backbone_require, 2, -45392, 0
examples/chaplin-brunch/public, 2, 156632, 0
examples/thorax, 175, 529864, 0
examples/reagent, 5, 837192, 0
examples/serenadejs, 5, 225616, 0
examples/typescript-angular, -15, 1160920, 0
examples/typescript-backbone, 2, 6488, 0
examples/angular-dart/web, 5, -2458512, 0
examples/elm, 5, -520384, 0
examples/closure, -221, -1381528, 0
examples/vanilladart/build/web, 5, 1198304, 0
examples/spine, 4, -105680, 0
examples/troopjs_require, 10, 86488, 0
examples/backbone_marionette, 5, 89736, 0
examples/vue, 5, 187880, 0
examples/ampersand, 5, 219016, 0
examples/mithril, 5, 262288, 0
examples/dojo, 8, -21344, 0
examples/knockoutjs, 5, 1229336, 0
examples/emberjs, 60, -827272, 0
examples/angularjs, -15, 286920, 0
examples/backbone, 2, 163160, 0
examples/canjs, 5, -350240, 0
examples/react, 5, 689920, 0
examples/flight, 10, 395072, 0
examples/angularjs_require, -15, 1486544, 0
