framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -338968, 0
examples/webrx, 105, 592304, 40
examples/foam, 26, 801504, 5
examples/aurelia, 5, -844912, 0
examples/react-backbone, 4, -531288, 0
examples/ractive, 105, 19408, 0
examples/atmajs, 17, -6992, 0
examples/exoskeleton, 5, -109712, 0
examples/sapui5, 5, -744072, 0
examples/angularjs-perf, -15, 728256, 0
examples/enyo_backbone, 5, 1076568, 0
examples/extjs_deftjs, 30, 665184, 0
examples/rappidjs, 5, 752864, 0
examples/dijon, 4, -267080, 0
examples/olives, 5, 57504, 0
examples/puremvc, 5, 739216, 0
examples/kendo, 195, 252072, 5
examples/duel/www, 5, -685344, 0
examples/somajs, 5, 812824, 0
examples/epitome, 5, 231328, 0
examples/sammyjs, 5, 111832, 0
examples/cujo/index.html, -12, 589640, -4
examples/lavaca_require, 30, 202264, 0
examples/durandal, 2, 965136, 0
examples/somajs_require, 5, 508424, 0
examples/thorax_lumbar/public, 172, -153600, 0
examples/canjs_require, 5, 1022072, 0
examples/knockoutjs_require, 4, -2464, 0
examples/backbone_require, 3, 489352, 0
examples/chaplin-brunch/public, 5, 369960, 0
examples/thorax, 175, 408624, 0
examples/reagent, 5, 459232, 0
examples/serenadejs, 4, 775944, 0
examples/typescript-angular, -15, -20632, 0
examples/typescript-backbone, 2, 413456, 0
examples/angular-dart/web, 4, -2391480, 0
examples/elm, 5, -621416, 0
examples/closure, 2, 959072, 0
examples/vanilladart/build/web, 5, 416640, 0
examples/spine, 4, 192328, 0
examples/troopjs_require, 10, -93632, 0
examples/backbone_marionette, 4, 192928, 0
examples/vue, 3, 866928, 0
examples/ampersand, 5, 370200, 0
examples/mithril, 5, 167352, 0
examples/dojo, 8, 1256680, 0
examples/knockoutjs, 2, -33136, 0
examples/emberjs, 59, -787896, 0
examples/angularjs, -17, 137848, 0
examples/backbone, 2, 1113128, 0
examples/canjs, 5, 188912, 0
examples/react, 4, -211816, 0
examples/flight, 9, -946000, 0
examples/angularjs_require, -15, 767520, 0
