framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -357920, 0
examples/webrx, 105, 929616, 40
examples/foam, -15, 128832, -7
examples/aurelia, 5, -2981792, 0
examples/react-backbone, 5, 175864, 0
examples/ractive, 105, -220432, 0
examples/atmajs, 17, 929280, 0
examples/exoskeleton, 5, -774152, 0
examples/sapui5, 5, 796520, 0
examples/angularjs-perf, 5, 790512, 0
examples/enyo_backbone, 9, 894432, 0
examples/extjs_deftjs, 30, 792544, 0
examples/rappidjs, 5, -528800, 0
examples/dijon, 4, 836760, 0
examples/olives, 5, -384720, 0
examples/puremvc, 5, 1090040, 0
examples/kendo, 194, 22784, 5
examples/duel/www, 5, 109264, 0
examples/somajs, 5, 123504, 0
examples/epitome, 3, -263456, 0
examples/sammyjs, 6, 1515464, 0
examples/cujo/index.html, 6, 226400, 0
examples/lavaca_require, 30, -413008, 0
examples/durandal, 2, 287872, 0
examples/somajs_require, 5, 341912, 0
examples/thorax_lumbar/public, 170, 184960, 0
examples/canjs_require, 5, 98000, 0
examples/knockoutjs_require, 5, 921976, 0
examples/backbone_require, 2, 1163832, 0
examples/chaplin-brunch/public, 2, -17304, 0
examples/thorax, 175, 282536, 0
examples/reagent, 5, 466016, 0
examples/serenadejs, 5, 937032, 0
examples/typescript-angular, 5, 88048, 0
examples/typescript-backbone, 2, 220232, 0
examples/angular-dart/web, 4, -2646616, 0
examples/elm, -18, -704656, 0
examples/closure, 2, 1133528, 0
examples/vanilladart/build/web, 5, 1301400, 0
examples/spine, 4, -372368, 0
examples/troopjs_require, 10, 415224, 0
examples/backbone_marionette, 4, 354576, 0
examples/vue, 5, 165920, 0
examples/ampersand, 4, -26808, 0
examples/mithril, 5, 828024, 0
examples/dojo, 2, 219896, 0
examples/knockoutjs, 5, -879408, 0
examples/emberjs, 60, -766136, 0
examples/angularjs, -17, 118808, 0
examples/backbone, 5, 317680, 0
examples/canjs, 5, 1020496, 0
examples/react, 5, -224488, 0
examples/flight, 9, -456360, 0
examples/angularjs_require, -15, -296184, 0
