framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -399912, 0
examples/webrx, 105, 624544, 40
examples/foam, 5, 645456, 0
examples/aurelia, 5, -2694856, 0
examples/react-backbone, 5, -393808, 0
examples/ractive, 105, -71664, 0
examples/atmajs, 20, 515232, 0
examples/exoskeleton, 5, 140424, 0
examples/sapui5, 5, -919808, 0
examples/angularjs-perf, 5, 568144, 0
examples/enyo_backbone, 5, 790736, 0
examples/extjs_deftjs, 30, 162576, 0
examples/rappidjs, 5, 361400, 0
examples/dijon, 4, 829880, 0
examples/olives, 5, 187296, 0
examples/puremvc, 5, -212360, 0
examples/kendo, 195, 1186040, 5
examples/duel/www, 5, 421888, 0
examples/somajs, 5, 705408, 0
examples/epitome, 3, 29080, 0
examples/sammyjs, 6, 292088, 0
examples/cujo/index.html, -12, -360, -4
examples/lavaca_require, 30, -872312, 0
examples/durandal, 8, -560176, 0
examples/somajs_require, 5, 1302056, 0
examples/thorax_lumbar/public, 170, 290800, 0
examples/canjs_require, 5, 1013832, 0
examples/knockoutjs_require, 5, 353920, 0
examples/backbone_require, 2, 168864, 0
examples/chaplin-brunch/public, 5, 222872, 0
examples/thorax, 175, 383440, 0
examples/reagent, -9, 786456, 0
examples/serenadejs, 5, -94592, 0
examples/typescript-angular, -15, 1639304, 0
examples/typescript-backbone, 8, 390912, 0
examples/angular-dart/web, 4, -2488152, 0
examples/elm, 5, -158728, 0
examples/closure, 5, -99720, 0
examples/vanilladart/build/web, 5, 205096, 0
examples/spine, 4, -123432, 0
examples/troopjs_require, 10, -258840, 0
examples/backbone_marionette, 4, -277336, 0
examples/vue, 5, 996864, 0
examples/ampersand, 4, 354528, 0
examples/mithril, 5, 585640, 0
examples/dojo, 8, 422432, 0
examples/knockoutjs, 5, -144072, 0
examples/emberjs, 60, -923704, 0
examples/angularjs, -17, -785544, 0
examples/backbone, 2, 652496, 0
examples/canjs, 5, -335840, 0
examples/react, 5, -33368, 0
examples/flight, 10, 648504, 0
examples/angularjs_require, 5, -49448, 0
