framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1451376, 0
examples/webrx, 105, 876736, 40
examples/foam, 6, -439960, -2
examples/aurelia, 3, 20848, 0
examples/react-backbone, 5, -576920, 0
examples/ractive, 105, 943224, 0
examples/atmajs, 20, -286752, 0
examples/exoskeleton, 5, -486360, 0
examples/sapui5, 5, 697856, 0
examples/angularjs-perf, 5, -136992, 0
examples/enyo_backbone, 5, 1653288, 0
examples/extjs_deftjs, 30, -66320, 0
examples/rappidjs, 5, 853400, 0
examples/dijon, 4, 1003296, 0
examples/olives, 5, 147720, 0
examples/puremvc, 5, 152816, 0
examples/kendo, 194, 232544, 5
examples/duel/www, 5, 694064, 0
examples/somajs, 5, 213536, 0
examples/epitome, 3, 22424, 0
examples/sammyjs, 6, 430296, 0
examples/cujo/index.html, -12, 335976, -4
examples/lavaca_require, 30, -32544, 0
examples/durandal, 5, 1100328, 0
examples/somajs_require, 5, 1128072, 0
examples/thorax_lumbar/public, 170, -434424, 0
examples/canjs_require, 5, 788624, 0
examples/knockoutjs_require, 5, -91704, 0
examples/backbone_require, 5, -18808, 0
examples/chaplin-brunch/public, 2, -174816, 0
examples/thorax, 177, 1391240, 0
examples/reagent, 5, 901472, 0
examples/serenadejs, 5, 549072, 0
examples/typescript-angular, 5, 174280, 0
examples/typescript-backbone, 2, 910456, 0
examples/angular-dart/web, 5, -2294400, 0
examples/elm, 5, -266040, 0
examples/closure, 5, 389144, 0
examples/vanilladart/build/web, 5, 1248616, 0
examples/spine, 4, -39616, 0
examples/troopjs_require, 10, -747008, 0
examples/backbone_marionette, 4, 545088, 0
examples/vue, 5, 89832, 0
examples/ampersand, 5, -149480, 0
examples/mithril, 5, 380888, 0
examples/dojo, 8, 722296, 0
examples/knockoutjs, 5, 253984, 0
examples/emberjs, 61, -817848, 0
examples/angularjs, -15, -93160, 0
examples/backbone, 3, 982336, 0
examples/canjs, 5, -609520, 0
examples/react, 4, 567632, 0
examples/flight, 9, -738984, 0
examples/angularjs_require, -15, -295816, 0
