framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1408264, 0
examples/webrx, 105, 842856, 40
examples/foam, 7, 632704, 1
examples/aurelia, 5, -248168, 0
examples/react-backbone, 6, 846296, 0
examples/ractive, 105, -159520, 0
examples/atmajs, 20, -94872, 0
examples/exoskeleton, 5, -565016, 0
examples/sapui5, 5, -533464, 0
examples/angularjs-perf, -15, 961504, 0
examples/enyo_backbone, 1, 1043520, 0
examples/extjs_deftjs, 30, 847432, 0
examples/rappidjs, 5, 428696, 0
examples/dijon, 4, 935528, 0
examples/olives, 5, 132168, 0
examples/puremvc, 5, 600168, 0
examples/kendo, 194, 318488, 5
examples/duel/www, 5, 160176, 0
examples/somajs, 5, 297320, 0
examples/epitome, 3, 266688, 0
examples/sammyjs, 2, 28496, 0
examples/cujo/index.html, -12, 10912, -4
examples/lavaca_require, 30, 479184, 0
examples/durandal, 5, 1120136, 0
examples/somajs_require, 5, 215424, 0
examples/thorax_lumbar/public, 172, 317560, 0
examples/canjs_require, 5, 64992, 0
examples/knockoutjs_require, 5, 950328, 0
examples/backbone_require, 5, -396808, 0
examples/chaplin-brunch/public, 2, 375064, 0
examples/thorax, 175, 559472, 0
examples/reagent, 19, 509528, 0
examples/serenadejs, 4, 242744, 0
examples/typescript-angular, -15, 255928, 0
examples/typescript-backbone, 2, 264808, 0
examples/angular-dart/web, 5, -2580680, 0
examples/elm, -21, -480336, 0
examples/closure, 2, 1219552, 0
examples/vanilladart/build/web, 5, 159424, 0
examples/spine, 4, -191592, 0
examples/troopjs_require, 10, -39896, 0
examples/backbone_marionette, 5, -45008, 0
examples/vue, 5, -1085048, 0
examples/ampersand, 4, -674664, 0
examples/mithril, 5, -550256, 0
examples/dojo, 5, 585672, 0
examples/knockoutjs, 5, 1240048, 0
examples/emberjs, 60, -837400, 0
examples/angularjs, -15, 272232, 0
examples/backbone, 2, 567520, 0
examples/canjs, 5, 156136, 0
examples/react, 4, 1353976, 0
examples/flight, 9, -689984, 0
examples/angularjs_require, -15, 689880, 0
