framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -345704, 0
examples/webrx, 105, 1133608, 40
examples/foam, 10, -685600, 3
examples/aurelia, 5, 130728, 0
examples/react-backbone, 6, -308336, 0
examples/ractive, 105, 767720, 0
examples/atmajs, 17, 1136384, 0
examples/exoskeleton, 2, 134944, 0
examples/sapui5, 5, -445992, 0
examples/angularjs-perf, -15, -876744, 0
examples/enyo_backbone, 5, 1206200, 0
examples/extjs_deftjs, 30, 46576, 0
examples/rappidjs, 5, 444224, 0
examples/dijon, 6, 367000, 0
examples/olives, 5, 493232, 0
examples/puremvc, 5, 255504, 0
examples/kendo, 194, 109304, 5
examples/duel/www, 5, 12104, 0
examples/somajs, 5, 278160, 0
examples/epitome, 3, 310144, 0
examples/sammyjs, -17, 601560, 0
examples/cujo/index.html, 5, 962240, 0
examples/lavaca_require, 30, -726944, 0
examples/durandal, 5, 616488, 0
examples/somajs_require, 5, 439320, 0
examples/thorax_lumbar/public, 170, 237848, 0
examples/canjs_require, 5, -155992, 0
examples/knockoutjs_require, 5, -44592, 0
examples/backbone_require, 2, 1066072, 0
examples/chaplin-brunch/public, 2, 153600, 0
examples/thorax, 173, 524160, 0
examples/reagent, 5, 1373600, 0
examples/serenadejs, 5, 189416, 0
examples/typescript-angular, -15, 1440784, 0
examples/typescript-backbone, 5, 221440, 0
examples/angular-dart/web, 4, 2506800, 0
examples/elm, 5, -584744, 0
examples/closure, 2, 1310488, 0
examples/vanilladart/build/web, 5, 60256, 0
examples/spine, 6, -538520, 0
examples/troopjs_require, 8, 845432, 0
examples/backbone_marionette, 5, -5344, 0
examples/vue, 3, 1456096, 0
examples/ampersand, 4, -262352, 0
examples/mithril, 5, 333552, 0
examples/dojo, 5, 284552, 0
examples/knockoutjs, 5, -188560, 0
examples/emberjs, 60, -690432, 0
examples/angularjs, -15, 406216, 0
examples/backbone, 2, 1162856, 0
examples/canjs, 5, 152640, 0
examples/react, 6, -78680, 0
examples/flight, 10, -816128, 0
examples/angularjs_require, -15, 1136816, 0
