framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -419912, 0
examples/webrx, 105, 665832, 40
examples/foam, 1, -150712, -2
examples/aurelia, 5, -2509048, 0
examples/react-backbone, 5, 560056, 0
examples/ractive, 105, 139400, 0
examples/atmajs, 17, 35208, 0
examples/exoskeleton, 5, 390064, 0
examples/sapui5, 5, -1012048, 0
examples/angularjs-perf, 5, 910224, 0
examples/enyo_backbone, 9, -180608, 0
examples/extjs_deftjs, 30, 580432, 0
examples/rappidjs, 5, 950304, 0
examples/dijon, 4, -155480, 0
examples/olives, 5, 141728, 0
examples/puremvc, 5, 942352, 0
examples/kendo, 194, 141312, 5
examples/duel/www, 5, -171064, 0
examples/somajs, 5, 7976, 0
examples/epitome, 5, 246656, 0
examples/sammyjs, 2, 408440, 0
examples/cujo/index.html, -15, 1622512, -4
examples/lavaca_require, 36, -211328, 0
examples/durandal, 8, -575480, 0
examples/somajs_require, 5, 388784, 0
examples/thorax_lumbar/public, 168, 1080512, 0
examples/canjs_require, 5, 6704, 0
examples/knockoutjs_require, 5, 406336, 0
examples/backbone_require, 3, -199312, 0
examples/chaplin-brunch/public, 2, 36440, 0
examples/thorax, 177, 710840, 0
examples/reagent, 19, 1254528, 0
examples/serenadejs, 5, -99448, 0
examples/typescript-angular, -15, 1302528, 0
examples/typescript-backbone, 2, 265680, 0
examples/angular-dart/web, 4, -2375776, 0
examples/elm, 31, -463240, 0
examples/closure, -224, -1951232, 0
examples/vanilladart/build/web, 5, 859976, 0
examples/spine, 5, -260784, 0
examples/troopjs_require, 10, -112440, 0
examples/backbone_marionette, 4, -59624, 0
examples/vue, 5, 87560, 0
examples/ampersand, 4, 535744, 0
examples/mithril, 5, 324104, 0
examples/dojo, 5, -225088, 0
examples/knockoutjs, 5, 217128, 0
examples/emberjs, 61, -418464, 0
examples/angularjs, -17, 1055864, 0
examples/backbone, 3, 76600, 0
examples/canjs, 5, -159744, 0
examples/react, 5, 609816, 0
examples/flight, 9, -114296, 0
examples/angularjs_require, -15, -213760, 0
