framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1494272, 0
examples/webrx, 105, 979544, 40
examples/foam, 26, 41504, 5
examples/aurelia, 5, -1326280, 0
examples/react-backbone, 5, 879328, 0
examples/ractive, 105, -59888, 0
examples/atmajs, 17, -680, 0
examples/exoskeleton, 5, -781032, 0
examples/sapui5, 5, 71200, 0
examples/angularjs-perf, -15, 1370960, 0
examples/enyo_backbone, 8, 1211520, 0
examples/extjs_deftjs, 30, 1800872, 0
examples/rappidjs, 5, 889096, 0
examples/dijon, 5, 476920, 0
examples/olives, 5, 811640, 0
examples/puremvc, 5, 536224, 0
examples/kendo, 194, 491816, 5
examples/duel/www, 5, 130232, 0
examples/somajs, 5, 911552, 0
examples/epitome, 3, 1049192, 0
examples/sammyjs, 6, 167328, 0
examples/cujo/index.html, 5, 14264, 0
examples/lavaca_require, 30, 523152, 0
examples/durandal, 2, 268744, 0
examples/somajs_require, 5, 233936, 0
examples/thorax_lumbar/public, 170, 129600, 0
examples/canjs_require, 5, 1024912, 0
examples/knockoutjs_require, 4, -114704, 0
examples/backbone_require, 2, 394504, 0
examples/chaplin-brunch/public, 5, -268656, 0
examples/thorax, 177, 970928, 0
examples/reagent, -9, 450472, 0
examples/serenadejs, 5, -74496, 0
examples/typescript-angular, -15, 287376, 0
examples/typescript-backbone, 2, 414216, 0
examples/angular-dart/web, 4, -2528544, 0
examples/elm, 28, -831352, 0
examples/closure, 5, 386384, 0
examples/vanilladart/build/web, 5, 480168, 0
examples/spine, 4, -249608, 0
examples/troopjs_require, 8, -431784, 0
examples/backbone_marionette, 5, 1639816, 0
examples/vue, 3, 482208, 0
examples/ampersand, 5, 382584, 0
examples/mithril, 5, 367384, 0
examples/dojo, 5, 1172872, 0
examples/knockoutjs, 5, -855872, 0
examples/emberjs, 60, -154832, 0
examples/angularjs, -15, -303544, 0
examples/backbone, 3, 727504, 0
examples/canjs, 5, 810664, 0
examples/react, 5, 1156856, 0
examples/flight, 9, 737088, 0
examples/angularjs_require, -15, 1212032, 0
