framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -475168, 0
examples/webrx, 105, 836112, 40
examples/foam, 6, -161064, -2
examples/aurelia, 5, -174960, 0
examples/react-backbone, 5, -1477048, 0
examples/ractive, 105, -964632, 0
examples/atmajs, 20, 321704, 0
examples/exoskeleton, 5, 353144, 0
examples/sapui5, 5, -607504, 0
examples/angularjs-perf, -15, 124424, 0
examples/enyo_backbone, 5, 1119152, 0
examples/extjs_deftjs, 30, 437448, 0
examples/rappidjs, 5, 635984, 0
examples/dijon, 6, -269328, 0
examples/olives, 5, 1204584, 0
examples/puremvc, 5, 396528, 0
examples/kendo, 195, 781120, 5
examples/duel/www, 5, 694824, 0
examples/somajs, 5, 893472, 0
examples/epitome, 3, 1208960, 0
examples/sammyjs, 5, -332880, 0
examples/cujo/index.html, 5, 38704, 0
examples/lavaca_require, 30, -548392, 0
examples/durandal, 8, 48928, 0
examples/somajs_require, 5, 616624, 0
examples/thorax_lumbar/public, 170, 415864, 0
examples/canjs_require, 5, 238504, 0
examples/knockoutjs_require, 5, 255120, 0
examples/backbone_require, 5, 211080, 0
examples/chaplin-brunch/public, 2, 39984, 0
examples/thorax, 173, 320720, 0
examples/reagent, 5, 1100376, 0
examples/serenadejs, 5, 69408, 0
examples/typescript-angular, -15, 228800, 0
examples/typescript-backbone, 5, 317968, 0
examples/angular-dart/web, 5, 2504072, 0
examples/elm, -21, -499664, 0
examples/closure, 2, 829840, 0
examples/vanilladart/build/web, 5, 376808, 0
examples/spine, 6, -323568, 0
examples/troopjs_require, 10, 615728, 0
examples/backbone_marionette, 5, -253464, 0
examples/vue, 3, 455248, 0
examples/ampersand, 5, 526496, 0
examples/mithril, 5, 743144, 0
examples/dojo, 8, -420456, 0
examples/knockoutjs, 5, 400576, 0
examples/emberjs, 61, -136648, 0
examples/angularjs, -15, 360368, 0
examples/backbone, 2, 234432, 0
examples/canjs, 5, -55384, 0
examples/react, 5, 315104, 0
examples/flight, 10, -625808, 0
examples/angularjs_require, -15, -270496, 0
