framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -367104, 0
examples/webrx, 105, 959632, 40
examples/foam, 5, -404808, 0
examples/aurelia, 5, -104208, 0
examples/react-backbone, 4, 272120, 0
examples/ractive, 105, -46584, 0
examples/atmajs, 17, 56008, 0
examples/exoskeleton, 5, -714152, 0
examples/sapui5, 20, -219160, 0
examples/angularjs-perf, -15, 202272, 0
examples/enyo_backbone, 5, 891824, 0
examples/extjs_deftjs, 30, 682776, 0
examples/rappidjs, 5, 551776, 0
examples/dijon, 4, -192072, 0
examples/olives, 5, 790448, 0
examples/puremvc, 5, 682056, 0
examples/kendo, 195, -173664, 5
examples/duel/www, 5, 32232, 0
examples/somajs, 5, 1146080, 0
examples/epitome, 3, 114288, 0
examples/sammyjs, 6, 190912, 0
examples/cujo/index.html, -13, 949256, -4
examples/lavaca_require, 30, 844616, 0
examples/durandal, 5, -249888, 0
examples/somajs_require, 3, 790392, 0
examples/thorax_lumbar/public, 170, 113544, 0
examples/canjs_require, 5, 206056, 0
examples/knockoutjs_require, 5, 950384, 0
examples/backbone_require, 4, 879272, 0
examples/chaplin-brunch/public, 5, 74560, 0
examples/thorax, 175, 100104, 0
examples/reagent, -9, 1598608, 0
examples/serenadejs, 4, -230560, 0
examples/typescript-angular, -15, 93360, 0
examples/typescript-backbone, 2, -135760, 0
examples/angular-dart/web, 4, 2535856, 0
examples/elm, 2, -226864, 0
examples/closure, 5, 163192, 0
examples/vanilladart/build/web, 5, 380920, 0
examples/spine, 5, 41920, 0
examples/troopjs_require, 8, 596352, 0
examples/backbone_marionette, 4, 194608, 0
examples/vue, 3, 300856, 0
examples/ampersand, 4, 539856, 0
examples/mithril, 5, 209984, 0
examples/dojo, 5, 713768, 0
examples/knockoutjs, 2, 252448, 0
examples/emberjs, 59, -1315888, 0
examples/angularjs, -15, 236608, 0
examples/backbone, 2, 230720, 0
examples/canjs, 5, -397640, 0
examples/react, 4, 398992, 0
examples/flight, 10, -795592, 0
examples/angularjs_require, -15, 34288, 0
