framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1482296, 0
examples/webrx, 105, 648184, 40
examples/foam, 6, -157008, -2
examples/aurelia, 6, -2876368, 0
examples/react-backbone, 4, 739464, 0
examples/ractive, 105, -1010864, 0
examples/atmajs, 17, 1025016, 0
examples/exoskeleton, 5, -493584, 0
examples/sapui5, 5, -791184, 0
examples/angularjs-perf, -15, 1514384, 0
examples/enyo_backbone, 9, 343232, 0
examples/extjs_deftjs, 30, 799184, 0
examples/rappidjs, 5, 704600, 0
examples/dijon, 4, 262688, 0
examples/olives, 5, 42128, 0
examples/puremvc, 5, 500184, 0
examples/kendo, 195, 854992, 5
examples/duel/www, 5, -85960, 0
examples/somajs, 5, -69584, 0
examples/epitome, 3, 339960, 0
examples/sammyjs, 5, 42376, 0
examples/cujo/index.html, -12, -978336, -4
examples/lavaca_require, 30, -43752, 0
examples/durandal, 2, -547784, 0
examples/somajs_require, 5, 625160, 0
examples/thorax_lumbar/public, 170, 93488, 0
examples/canjs_require, 5, 762928, 0
examples/knockoutjs_require, 5, 300272, 0
examples/backbone_require, 2, -30704, 0
examples/chaplin-brunch/public, 5, -162312, 0
examples/thorax, 175, 340744, 0
examples/reagent, 5, 1114240, 0
examples/serenadejs, 5, 1026176, 0
examples/typescript-angular, -15, 465744, 0
examples/typescript-backbone, 2, 811520, 0
examples/angular-dart/web, 5, -2499160, 0
examples/elm, 2, -378840, 0
examples/closure, -228, -2119480, 0
examples/vanilladart/build/web, 5, 1254928, 0
examples/spine, 5, 276568, 0
examples/troopjs_require, 10, -433424, 0
examples/backbone_marionette, 5, 948648, 0
examples/vue, 5, 187520, 0
examples/ampersand, 4, 1022872, 0
examples/mithril, 4, 518792, 0
examples/dojo, 8, 186296, 0
examples/knockoutjs, 5, 1121520, 0
examples/emberjs, 61, -249392, 0
examples/angularjs, -17, 162112, 0
examples/backbone, 2, 826320, 0
examples/canjs, 5, 159112, 0
examples/react, 4, 1132184, 0
examples/flight, 10, -521952, 0
examples/angularjs_require, -15, 157040, 0
