framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -475776, 0
examples/webrx, 105, 1170440, 40
examples/foam, 26, -442960, 5
examples/aurelia, 5, -285912, 0
examples/react-backbone, 5, -548800, 0
examples/ractive, 105, -854200, 0
examples/atmajs, 17, 491072, 0
examples/exoskeleton, 5, -41944, 0
examples/sapui5, 5, -918112, 0
examples/angularjs-perf, -15, 53688, 0
examples/enyo_backbone, 9, 744352, 0
examples/extjs_deftjs, 30, -374832, 0
examples/rappidjs, 5, 973360, 0
examples/dijon, 4, 26144, 0
examples/olives, 5, -100424, 0
examples/puremvc, 5, -112824, 0
examples/kendo, 194, 253736, 5
examples/duel/www, 5, -576744, 0
examples/somajs, 5, 428360, 0
examples/epitome, 3, 129936, 0
examples/sammyjs, 6, -109120, 0
examples/cujo/index.html, 5, 394280, 0
examples/lavaca_require, 30, -688568, 0
examples/durandal, 8, -188696, 0
examples/somajs_require, 7, 553520, 0
examples/thorax_lumbar/public, 168, -171120, 0
examples/canjs_require, 5, 164368, 0
examples/knockoutjs_require, 4, 615696, 0
examples/backbone_require, 5, 15272, 0
examples/chaplin-brunch/public, 5, 870016, 0
examples/thorax, 175, 396320, 0
examples/reagent, 5, 340312, 0
examples/serenadejs, 5, 144600, 0
examples/typescript-angular, -15, 1206536, 0
examples/typescript-backbone, 2, 21880, 0
examples/angular-dart/web, 4, 2367296, 0
examples/elm, 2, -315720, 0
examples/closure, 2, 474120, 0
examples/vanilladart/build/web, 5, 72640, 0
examples/spine, 4, 881000, 0
examples/troopjs_require, 10, 536768, 0
examples/backbone_marionette, 4, -527320, 0
examples/vue, 5, 356080, 0
examples/ampersand, 5, -49720, 0
examples/mithril, 5, -524248, 0
examples/dojo, 5, 1062384, 0
examples/knockoutjs, 2, 882200, 0
examples/emberjs, 60, -362224, 0
examples/angularjs, -15, 1407400, 0
examples/backbone, 2, -231672, 0
examples/canjs, 5, -318600, 0
examples/react, 4, 1422848, 0
examples/flight, 10, -574440, 0
examples/angularjs_require, -15, -102552, 0
