framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1471080, 0
examples/webrx, 105, 856552, 40
examples/foam, -15, 168128, -7
examples/aurelia, 3, 269408, 0
examples/react-backbone, 4, -599992, 0
examples/ractive, 105, 982048, 0
examples/atmajs, 17, 136256, 0
examples/exoskeleton, 5, -38520, 0
examples/sapui5, 5, -1305616, 0
examples/angularjs-perf, -15, 652344, 0
examples/enyo_backbone, 1, 399472, 0
examples/extjs_deftjs, 30, 963104, 0
examples/rappidjs, 5, 643616, 0
examples/dijon, 5, 477480, 0
examples/olives, 5, 68728, 0
examples/puremvc, 5, -140552, 0
examples/kendo, 195, 308648, 5
examples/duel/www, 5, -136672, 0
examples/somajs, 5, 42912, 0
examples/epitome, 3, 721536, 0
examples/sammyjs, 2, 68768, 0
examples/cujo/index.html, -12, -1119952, -4
examples/lavaca_require, 30, 411056, 0
examples/durandal, 5, 400408, 0
examples/somajs_require, 5, 583456, 0
examples/thorax_lumbar/public, 168, 78392, 0
examples/canjs_require, 5, 139280, 0
examples/knockoutjs_require, 5, 315720, 0
examples/backbone_require, 2, 829240, 0
examples/chaplin-brunch/public, 5, -963576, 0
examples/thorax, 175, 442088, 0
examples/reagent, 5, 475912, 0
examples/serenadejs, -194, -3031704, 0
examples/typescript-angular, -15, 125312, 0
examples/typescript-backbone, 5, 850088, 0
examples/angular-dart/web, 5, -2727328, 0
examples/elm, 28, -275312, 0
examples/closure, 5, 119664, 0
examples/vanilladart/build/web, 5, 413064, 0
examples/spine, 4, 44072, 0
examples/troopjs_require, 10, -282064, 0
examples/backbone_marionette, 5, -28304, 0
examples/vue, 3, 583832, 0
examples/ampersand, 4, 338232, 0
examples/mithril, 5, 400728, 0
examples/dojo, 5, 117816, 0
examples/knockoutjs, 5, 402584, 0
examples/emberjs, 60, -230088, 0
examples/angularjs, -15, 324464, 0
examples/backbone, 3, 917952, 0
examples/canjs, 5, -24888, 0
examples/react, 5, 1053128, 0
examples/flight, 9, 48664, 0
examples/angularjs_require, -15, 1447312, 0
