framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -336096, 0
examples/webrx, 105, 938464, 40
examples/foam, -15, -135880, -7
examples/aurelia, 3, 263968, 0
examples/react-backbone, 4, -616448, 0
examples/ractive, 105, 896768, 0
examples/atmajs, 17, -239824, 0
examples/exoskeleton, 5, -43424, 0
examples/sapui5, 5, 242808, 0
examples/angularjs-perf, -15, -230360, 0
examples/enyo_backbone, 5, 744288, 0
examples/extjs_deftjs, 30, 1426096, 0
examples/rappidjs, 5, -1282128, 0
examples/dijon, 4, -50080, 0
examples/olives, 5, 72144, 0
examples/puremvc, 5, 291016, 0
examples/kendo, 195, 150984, 5
examples/duel/www, 5, -76400, 0
examples/somajs, 5, 665320, 0
examples/epitome, 3, 51512, 0
examples/sammyjs, 6, 3048, 0
examples/cujo/index.html, -13, 1249480, -4
examples/lavaca_require, 1, -694048, 0
examples/durandal, 5, -601720, 0
examples/somajs_require, 5, 874480, 0
examples/thorax_lumbar/public, 172, -260400, 0
examples/canjs_require, 5, 1238664, 0
examples/knockoutjs_require, 5, 1301328, 0
examples/backbone_require, 3, 188832, 0
examples/chaplin-brunch/public, 2, -141304, 0
examples/thorax, 175, 109784, 0
examples/reagent, 5, 667744, 0
examples/serenadejs, 5, 289272, 0
examples/typescript-angular, -15, 70088, 0
examples/typescript-backbone, 2, 224920, 0
examples/angular-dart/web, 5, -2217688, 0
examples/elm, 5, -348168, 0
examples/closure, 2, 838352, 0
examples/vanilladart/build/web, 5, 295720, 0
examples/spine, 4, -46704, 0
examples/troopjs_require, 10, -87176, 0
examples/backbone_marionette, 5, -314344, 0
examples/vue, 3, -91904, 0
examples/ampersand, 5, 1350224, 0
examples/mithril, 5, 235152, 0
examples/dojo, 8, -95184, 0
examples/knockoutjs, 5, -516808, 0
examples/emberjs, 59, -94720, 0
examples/angularjs, -17, -18408, 0
examples/backbone, 5, 484784, 0
examples/canjs, 5, 896896, 0
examples/react, 4, 692104, 0
examples/flight, 10, -437032, 0
examples/angularjs_require, -15, 581152, 0
