framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1429048, 0
examples/webrx, 105, 935248, 40
examples/foam, 5, -373392, 0
examples/aurelia, 5, -1016928, 0
examples/react-backbone, 5, -136656, 0
examples/ractive, 105, 939496, 0
examples/atmajs, 17, -51008, 0
examples/exoskeleton, 5, 824800, 0
examples/sapui5, 5, 511424, 0
examples/angularjs-perf, -15, -282360, 0
examples/enyo_backbone, 5, 1093656, 0
examples/extjs_deftjs, 30, 1460440, 0
examples/rappidjs, 5, 785064, 0
examples/dijon, 4, 787792, 0
examples/olives, 5, 199168, 0
examples/puremvc, 3, 684232, 0
examples/kendo, 195, 1437672, 5
examples/duel/www, 4, 530080, 0
examples/somajs, 5, 509784, 0
examples/epitome, 5, 146560, 0
examples/sammyjs, 9, -54992, 0
examples/cujo/index.html, 23, 194400, 4
examples/lavaca_require, 30, -44560, 0
examples/durandal, 2, -125720, 0
examples/somajs_require, 5, 380768, 0
examples/thorax_lumbar/public, 170, 34992, 0
examples/canjs_require, 5, 1003744, 0
examples/knockoutjs_require, 5, -189592, 0
examples/backbone_require, 2, 147096, 0
examples/chaplin-brunch/public, 5, 838128, 0
examples/thorax, 175, 124512, 0
examples/reagent, -9, 384488, 0
examples/serenadejs, 5, -204336, 0
examples/typescript-angular, -15, 880680, 0
examples/typescript-backbone, 2, 391480, 0
examples/angular-dart/web, 5, 997840, 0
examples/elm, 28, -426368, 0
examples/closure, -221, -2434184, 0
examples/vanilladart/build/web, 5, 1093104, 0
examples/spine, 4, -131656, 0
examples/troopjs_require, 10, -78992, 0
examples/backbone_marionette, 5, 784, 0
examples/vue, 3, 160248, 0
examples/ampersand, 4, -30664, 0
examples/mithril, 5, 1149880, 0
examples/dojo, 5, 58424, 0
examples/knockoutjs, 5, 335136, 0
examples/emberjs, 60, -845640, 0
examples/angularjs, -15, 32752, 0
examples/backbone, 2, 238120, 0
examples/canjs, 5, -201064, 0
examples/react, 5, 305336, 0
examples/flight, 9, -519160, 0
examples/angularjs_require, -15, -2944, 0
