framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -278328, 0
examples/webrx, 105, 712448, 40
examples/foam, 5, -372712, 0
examples/aurelia, 3, -1981984, 0
examples/react-backbone, 5, 949848, 0
examples/ractive, 105, 323072, 0
examples/atmajs, 17, -216464, 0
examples/exoskeleton, 5, -622840, 0
examples/sapui5, 5, -432704, 0
examples/angularjs-perf, -15, 868744, 0
examples/enyo_backbone, 5, -260880, 0
examples/extjs_deftjs, 30, 994624, 0
examples/rappidjs, 5, 1158296, 0
examples/dijon, 5, -616736, 0
examples/olives, 5, 854000, 0
examples/puremvc, 5, 420776, 0
examples/kendo, 194, 329264, 5
examples/duel/www, 5, -173624, 0
examples/somajs, 5, -53352, 0
examples/epitome, 5, 22632, 0
examples/sammyjs, 1, -293000, 0
examples/cujo/index.html, -12, 120976, -4
examples/lavaca_require, 1, -704960, 0
examples/durandal, 8, 569232, 0
examples/somajs_require, 5, 93256, 0
examples/thorax_lumbar/public, 170, 408464, 0
examples/canjs_require, 5, 403008, 0
examples/knockoutjs_require, 4, 148520, 0
examples/backbone_require, 2, -157304, 0
examples/chaplin-brunch/public, 5, 430576, 0
examples/thorax, 177, -66896, 0
examples/reagent, 5, 1470760, 0
examples/serenadejs, 5, -403432, 0
examples/typescript-angular, -15, 297128, 0
examples/typescript-backbone, 2, 144024, 0
examples/angular-dart/web, 4, -2505080, 0
examples/elm, 2, -1214128, 0
examples/closure, -224, -1877720, 0
examples/vanilladart/build/web, 5, 1127728, 0
examples/spine, 5, 57264, 0
examples/troopjs_require, 10, -114896, 0
examples/backbone_marionette, 6, 56232, 0
examples/vue, 3, 334456, 0
examples/ampersand, 4, 504112, 0
examples/mithril, 5, 167888, 0
examples/dojo, 5, 1049000, 0
examples/knockoutjs, 5, 533168, 0
examples/emberjs, 60, -1108352, 0
examples/angularjs, -15, 394328, 0
examples/backbone, 2, 74064, 0
examples/canjs, 5, -145752, 0
examples/react, 4, 417864, 0
examples/flight, 9, -152288, 0
examples/angularjs_require, -15, -87592, 0
