framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -432784, 0
examples/webrx, 105, 879384, 40
examples/foam, -15, -375944, -7
examples/aurelia, 5, -675328, 0
examples/react-backbone, 5, -103000, 0
examples/ractive, 105, 1090496, 0
examples/atmajs, 17, -258600, 0
examples/exoskeleton, 5, -770400, 0
examples/sapui5, 5, -434896, 0
examples/angularjs-perf, 5, 1055024, 0
examples/enyo_backbone, 1, 892216, 0
examples/extjs_deftjs, 30, 1104728, 0
examples/rappidjs, 5, 1002944, 0
examples/dijon, 4, -71128, 0
examples/olives, 2, -55472, 0
examples/puremvc, 5, 204856, 0
examples/kendo, 194, 235264, 5
examples/duel/www, 5, -480656, 0
examples/somajs, 5, 38240, 0
examples/epitome, 5, 328128, 0
examples/sammyjs, 6, -98288, 0
examples/cujo/index.html, 5, 66080, 0
examples/lavaca_require, 30, 378120, 0
examples/durandal, 8, 1233160, 0
examples/somajs_require, 5, -142848, 0
examples/thorax_lumbar/public, 170, 246424, 0
examples/canjs_require, 5, -368248, 0
examples/knockoutjs_require, 4, 1083664, 0
examples/backbone_require, 2, -43000, 0
examples/chaplin-brunch/public, 2, -90216, 0
examples/thorax, 175, 1323704, 0
examples/reagent, 5, 551696, 0
examples/serenadejs, 5, 889400, 0
examples/typescript-angular, -15, 1016232, 0
examples/typescript-backbone, 5, 377808, 0
examples/angular-dart/web, 4, -2467384, 0
examples/elm, 28, -179632, 0
examples/closure, 5, 502920, 0
examples/vanilladart/build/web, 5, 429240, 0
examples/spine, 4, -310424, 0
examples/troopjs_require, 12, -405176, 0
examples/backbone_marionette, 5, 481648, 0
examples/vue, 3, 781928, 0
examples/ampersand, 4, 297416, 0
examples/mithril, 4, 550528, 0
examples/dojo, 5, 1112232, 0
examples/knockoutjs, 2, -242200, 0
examples/emberjs, 60, 148712, 0
examples/angularjs, -15, -516344, 0
examples/backbone, 2, 1086192, 0
examples/canjs, 5, 175912, 0
examples/react, 5, 222304, 0
examples/flight, 9, -194456, 0
examples/angularjs_require, -15, 832816, 0
