framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1441216, 0
examples/webrx, 105, 993960, 40
examples/foam, -11, -372592, -5
examples/aurelia, 5, -2784320, 0
examples/react-backbone, 5, -302128, 0
examples/ractive, 105, 1244704, 0
examples/atmajs, 17, -53360, 0
examples/exoskeleton, 5, 462088, 0
examples/sapui5, 5, -929568, 0
examples/angularjs-perf, -15, 859792, 0
examples/enyo_backbone, 5, 627144, 0
examples/extjs_deftjs, 30, 354712, 0
examples/rappidjs, 5, 519200, 0
examples/dijon, 4, 5616, 0
examples/olives, 5, -214912, 0
examples/puremvc, 5, 436672, 0
examples/kendo, 195, 79712, 5
examples/duel/www, 5, -62040, 0
examples/somajs, 5, -34640, 0
examples/epitome, 3, -20200, 0
examples/sammyjs, 7, -32552, 0
examples/cujo/index.html, 5, 311632, 0
examples/lavaca_require, 30, -709096, 0
examples/durandal, 5, 445608, 0
examples/somajs_require, 5, 417760, 0
examples/thorax_lumbar/public, 170, -12184, 0
examples/canjs_require, 5, 21136, 0
examples/knockoutjs_require, 4, 527592, 0
examples/backbone_require, 2, -339320, 0
examples/chaplin-brunch/public, 5, 324768, 0
examples/thorax, 175, 152504, 0
examples/reagent, 5, 967880, 0
examples/serenadejs, 5, 421192, 0
examples/typescript-angular, -15, 1343168, 0
examples/typescript-backbone, 8, -129432, 0
examples/angular-dart/web, 4, 2289728, 0
examples/elm, 2, -189080, 0
examples/closure, 2, -112616, 0
examples/vanilladart/build/web, 5, 252696, 0
examples/spine, 5, -122104, 0
examples/troopjs_require, 10, -643816, 0
examples/backbone_marionette, 4, 617080, 0
examples/vue, 3, 917120, 0
examples/ampersand, 4, 1653408, 0
examples/mithril, 5, 734912, 0
examples/dojo, 8, 132696, 0
examples/knockoutjs, 5, -824848, 0
examples/emberjs, 61, -440776, 0
examples/angularjs, -17, 685112, 0
examples/backbone, 3, 1179600, 0
examples/canjs, 5, -146680, 0
examples/react, 5, -252048, 0
examples/flight, 10, -147112, 0
examples/angularjs_require, -15, 18696, 0
