framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -533296, 0
examples/webrx, 105, 1695544, 40
examples/foam, -16, 936, -5
examples/aurelia, 3, 1209744, 0
examples/react-backbone, 5, 676016, 0
examples/ractive, 105, 195856, 0
examples/atmajs, 17, 774528, 0
examples/exoskeleton, 5, -512032, 0
examples/sapui5, -10, -405936, 0
examples/angularjs-perf, -15, 1133152, 0
examples/enyo_backbone, 5, 327296, 0
examples/extjs_deftjs, 30, 696088, 0
examples/rappidjs, 5, 613360, 0
examples/dijon, 5, -434544, 0
examples/olives, 5, 854512, 0
examples/puremvc, 5, 1381552, 0
examples/kendo, 195, 1219272, 5
examples/duel/www, 5, -86448, 0
examples/somajs, 5, -77656, 0
examples/epitome, 3, 31048, 0
examples/sammyjs, 6, 1132976, 0
examples/cujo/index.html, -13, 471088, -4
examples/lavaca_require, 59, -332624, 0
examples/durandal, 5, -445888, 0
examples/somajs_require, 5, 205648, 0
examples/thorax_lumbar/public, 170, 417880, 0
examples/canjs_require, 5, -163632, 0
examples/knockoutjs_require, 4, 184448, 0
examples/backbone_require, 5, 516544, 0
examples/chaplin-brunch/public, 2, 801624, 0
examples/thorax, 173, 560040, 0
examples/reagent, -9, 303776, 0
examples/serenadejs, 5, 1106968, 0
examples/typescript-angular, 5, 373496, 0
examples/typescript-backbone, 5, -3248, 0
examples/angular-dart/web, 5, 2399320, 0
examples/elm, 2, -472912, 0
examples/closure, 2, 701008, 0
examples/vanilladart/build/web, 5, 46232, 0
examples/spine, 4, 703800, 0
examples/troopjs_require, 10, -143616, 0
examples/backbone_marionette, 5, -451792, 0
examples/vue, 3, 40432, 0
examples/ampersand, 4, 893648, 0
examples/mithril, 5, -899240, 0
examples/dojo, 5, 317440, 0
examples/knockoutjs, 5, 1147936, 0
examples/emberjs, 60, 78040, 0
examples/angularjs, -15, 987080, 0
examples/backbone, 2, 264856, 0
examples/canjs, 5, -231512, 0
examples/react, 4, 836696, 0
examples/flight, 10, 355848, 0
examples/angularjs_require, -15, 1782848, 0
