framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -405040, 0
examples/webrx, 105, 651528, 40
examples/foam, 1, -43408, -2
examples/aurelia, 5, 74848, 0
examples/react-backbone, 5, -138840, 0
examples/ractive, 105, 1148536, 0
examples/atmajs, 17, 37720, 0
examples/exoskeleton, 5, 79776, 0
examples/sapui5, 5, 191600, 0
examples/angularjs-perf, -15, 917256, 0
examples/enyo_backbone, 9, 863648, 0
examples/extjs_deftjs, 30, 423496, 0
examples/rappidjs, 5, 522528, 0
examples/dijon, 4, -477040, 0
examples/olives, 5, 582704, 0
examples/puremvc, 5, -657248, 0
examples/kendo, 194, 1020192, 5
examples/duel/www, 4, 709728, 0
examples/somajs, 5, -102464, 0
examples/epitome, 3, 526592, 0
examples/sammyjs, 6, 1032160, 0
examples/cujo/index.html, 6, 84568, 0
examples/lavaca_require, 30, -182464, 0
examples/durandal, 5, -825008, 0
examples/somajs_require, 3, 659024, 0
examples/thorax_lumbar/public, 170, 377064, 0
examples/canjs_require, 5, 510144, 0
examples/knockoutjs_require, 5, 382440, 0
examples/backbone_require, 5, 14680, 0
examples/chaplin-brunch/public, 2, -101720, 0
examples/thorax, 175, 1298680, 0
examples/reagent, 5, 266528, 0
examples/serenadejs, 5, 8880, 0
examples/typescript-angular, 5, 1206352, 0
examples/typescript-backbone, 5, 364344, 0
examples/angular-dart/web, 4, -2425984, 0
examples/elm, 31, 1248224, 0
examples/closure, -224, -1858448, 0
examples/vanilladart/build/web, 5, 969216, 0
examples/spine, 4, 742928, 0
examples/troopjs_require, 10, -334432, 0
examples/backbone_marionette, 4, -217632, 0
examples/vue, 5, 738880, 0
examples/ampersand, 4, -701048, 0
examples/mithril, 5, 225440, 0
examples/dojo, 5, -6696, 0
examples/knockoutjs, 5, -158048, 0
examples/emberjs, 60, 16288, 0
examples/angularjs, -15, 86640, 0
examples/backbone, 5, 1264, 0
examples/canjs, 5, 781144, 0
examples/react, 5, -407448, 0
examples/flight, 9, 732280, 0
examples/angularjs_require, -15, 108832, 0
