framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -405800, 0
examples/webrx, 105, 565920, 40
examples/foam, 1, 784488, -2
examples/aurelia, 5, -244216, 0
examples/react-backbone, 6, 179152, 0
examples/ractive, 105, 1216712, 0
examples/atmajs, 17, -245344, 0
examples/exoskeleton, 5, -9704, 0
examples/sapui5, 5, 518624, 0
examples/angularjs-perf, -15, -718704, 0
examples/enyo_backbone, 5, 929416, 0
examples/extjs_deftjs, 30, -133736, 0
examples/rappidjs, 5, -717648, 0
examples/dijon, 5, 239616, 0
examples/olives, 5, -6880, 0
examples/puremvc, 5, 495416, 0
examples/kendo, 194, 138368, 5
examples/duel/www, 5, 626656, 0
examples/somajs, 5, 1111864, 0
examples/epitome, 3, 69048, 0
examples/sammyjs, 5, 564072, 0
examples/cujo/index.html, 5, 602096, 0
examples/lavaca_require, 30, -652056, 0
examples/durandal, 2, 494368, 0
examples/somajs_require, 5, 342896, 0
examples/thorax_lumbar/public, 170, 259120, 0
examples/canjs_require, 5, 689008, 0
examples/knockoutjs_require, 5, -93448, 0
examples/backbone_require, 5, 805480, 0
examples/chaplin-brunch/public, 2, 362768, 0
examples/thorax, 175, 171600, 0
examples/reagent, 19, 887192, 0
examples/serenadejs, 5, 768040, 0
examples/typescript-angular, -15, 641888, 0
examples/typescript-backbone, 8, 17568, 0
examples/angular-dart/web, 5, -2349856, 0
examples/elm, 5, -572344, 0
examples/closure, -198, -1330912, 0
examples/vanilladart/build/web, 5, -431688, 0
examples/spine, 5, -582744, 0
examples/troopjs_require, 10, 401704, 0
examples/backbone_marionette, 4, 832664, 0
examples/vue, 5, 546672, 0
examples/ampersand, 5, 446360, 0
examples/mithril, 5, 281024, 0
examples/dojo, 5, 155064, 0
examples/knockoutjs, 5, -894072, 0
examples/emberjs, 60, -68128, 0
examples/angularjs, -17, 433680, 0
examples/backbone, 2, 136912, 0
examples/canjs, 5, 311984, 0
examples/react, 5, 913496, 0
examples/flight, 9, 956952, 0
examples/angularjs_require, 5, 263584, 0
