framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1475968, 0
examples/webrx, 105, 1092512, 40
examples/foam, 6, -334824, -2
examples/aurelia, 5, -146400, 0
examples/react-backbone, 5, -222592, 0
examples/ractive, 105, 933104, 0
examples/atmajs, 20, -257056, 0
examples/exoskeleton, 5, 50728, 0
examples/sapui5, 5, -1141920, 0
examples/angularjs-perf, -15, 720112, 0
examples/enyo_backbone, 5, 1140416, 0
examples/extjs_deftjs, 30, -442160, 0
examples/rappidjs, 5, -196776, 0
examples/dijon, 4, 44544, 0
examples/olives, 5, -7344, 0
examples/puremvc, 5, 920632, 0
examples/kendo, 194, 1353376, 5
examples/duel/www, 5, -74032, 0
examples/somajs, 5, 776, 0
examples/epitome, 5, 267024, 0
examples/sammyjs, 5, 15600, 0
examples/cujo/index.html, -12, -139128, -4
examples/lavaca_require, 30, 470904, 0
examples/durandal, 5, 1169120, 0
examples/somajs_require, 5, 332456, 0
examples/thorax_lumbar/public, 170, 158792, 0
examples/canjs_require, 5, 2776, 0
examples/knockoutjs_require, 5, 1188304, 0
examples/backbone_require, 2, -320064, 0
examples/chaplin-brunch/public, 5, 366584, 0
examples/thorax, 177, 242400, 0
examples/reagent, 5, 1322280, 0
examples/serenadejs, 5, -324216, 0
examples/typescript-angular, -15, 628688, 0
examples/typescript-backbone, 2, 272000, 0
examples/angular-dart/web, 4, -2312096, 0
examples/elm, 2, -589032, 0
examples/closure, 2, 453368, 0
examples/vanilladart/build/web, 5, 136936, 0
examples/spine, 4, -143792, 0
examples/troopjs_require, 10, -148056, 0
examples/backbone_marionette, 5, 75200, 0
examples/vue, 23, 607472, 0
examples/ampersand, 4, -81728, 0
examples/mithril, 5, -428272, 0
examples/dojo, 2, 555824, 0
examples/knockoutjs, 8, 388544, 0
examples/emberjs, 60, -1641912, 0
examples/angularjs, -15, 640520, 0
examples/backbone, 3, 52856, 0
examples/canjs, 5, -190592, 0
examples/react, 5, 14952, 0
examples/flight, 9, 28184, 0
examples/angularjs_require, -15, 22352, 0
