framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1498136, 0
examples/webrx, 105, 941312, 40
examples/foam, 0, -411768, 0
examples/aurelia, 5, -1696800, 0
examples/react-backbone, 5, 150208, 0
examples/ractive, 105, 35976, 0
examples/atmajs, 17, 1091704, 0
examples/exoskeleton, 2, 294712, 0
examples/sapui5, 5, -585184, 0
examples/angularjs-perf, -15, 704232, 0
examples/enyo_backbone, 9, 693448, 0
examples/extjs_deftjs, 30, 271856, 0
examples/rappidjs, 5, 75632, 0
examples/dijon, 4, 134312, 0
examples/olives, 5, -660768, 0
examples/puremvc, 5, 1343688, 0
examples/kendo, 194, -264744, 5
examples/duel/www, 5, 117952, 0
examples/somajs, 3, 175952, 0
examples/epitome, 3, 322200, 0
examples/sammyjs, 7, -204600, 0
examples/cujo/index.html, -12, 35424, -4
examples/lavaca_require, 30, 338416, 0
examples/durandal, 8, 114712, 0
examples/somajs_require, 5, 296024, 0
examples/thorax_lumbar/public, 170, 532064, 0
examples/canjs_require, 5, -156400, 0
examples/knockoutjs_require, 5, 335912, 0
examples/backbone_require, 2, -101392, 0
examples/chaplin-brunch/public, 2, -126528, 0
examples/thorax, 177, 533184, 0
examples/reagent, 5, 26344, 0
examples/serenadejs, 5, 500648, 0
examples/typescript-angular, -15, 1407688, 0
examples/typescript-backbone, 5, 896024, 0
examples/angular-dart/web, 5, -2385856, 0
examples/elm, -21, -253016, 0
examples/closure, 8, -411680, 0
examples/vanilladart/build/web, 5, 236792, 0
examples/spine, 4, -158736, 0
examples/troopjs_require, 10, -164920, 0
examples/backbone_marionette, 4, -382016, 0
examples/vue, 5, 530312, 0
examples/ampersand, 5, 1112184, 0
examples/mithril, 5, -647056, 0
examples/dojo, 5, 210816, 0
examples/knockoutjs, 5, -449344, 0
examples/emberjs, 60, -1195160, 0
examples/angularjs, -15, -1206120, 0
examples/backbone, 2, -526320, 0
examples/canjs, 5, 146848, 0
examples/react, 5, -231584, 0
examples/flight, 9, -521912, 0
examples/angularjs_require, -15, 838816, 0
