framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -454568, 0
examples/webrx, 105, 1203824, 40
examples/foam, -15, -302872, -7
examples/aurelia, 3, 240536, 0
examples/react-backbone, 6, -333568, 0
examples/ractive, 105, 1157936, 0
examples/atmajs, 17, 195216, 0
examples/exoskeleton, 5, -242136, 0
examples/sapui5, 5, -1002928, 0
examples/angularjs-perf, -15, 474880, 0
examples/enyo_backbone, 1, 1221856, 0
examples/extjs_deftjs, 30, 949824, 0
examples/rappidjs, 5, -303808, 0
examples/dijon, 4, -177952, 0
examples/olives, 5, 283824, 0
examples/puremvc, 5, -136808, 0
examples/kendo, 194, 171248, 5
examples/duel/www, 5, -17704, 0
examples/somajs, 5, 1561632, 0
examples/epitome, 3, 171392, 0
examples/sammyjs, 6, 32320, 0
examples/cujo/index.html, -13, 475208, -4
examples/lavaca_require, 30, 48224, 0
examples/durandal, 5, 291568, 0
examples/somajs_require, 5, 524480, 0
examples/thorax_lumbar/public, 170, 8616, 0
examples/canjs_require, 5, 1125120, 0
examples/knockoutjs_require, 5, -67360, 0
examples/backbone_require, 2, 1193584, 0
examples/chaplin-brunch/public, 5, -363256, 0
examples/thorax, 175, 782488, 0
examples/reagent, 5, -242936, 0
examples/serenadejs, 5, 947696, 0
examples/typescript-angular, -15, -279736, 0
examples/typescript-backbone, 8, 133184, 0
examples/angular-dart/web, 4, -2289472, 0
examples/elm, 5, -796704, 0
examples/closure, 2, 642120, 0
examples/vanilladart/build/web, 5, 243872, 0
examples/spine, 4, -328192, 0
examples/troopjs_require, 10, 682336, 0
examples/backbone_marionette, 5, -212304, 0
examples/vue, 3, 37376, 0
examples/ampersand, 5, 883064, 0
examples/mithril, 5, -782432, 0
examples/dojo, 2, 207840, 0
examples/knockoutjs, 5, 352128, 0
examples/emberjs, 60, -650080, 0
examples/angularjs, -15, 3624, 0
examples/backbone, 2, 980184, 0
examples/canjs, 5, 247720, 0
examples/react, 5, 396288, 0
examples/flight, 9, -520072, 0
examples/angularjs_require, -15, -331016, 0
