framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -387992, 0
examples/webrx, 105, 798968, 40
examples/foam, 6, 547616, -2
examples/aurelia, 5, 948408, 0
examples/react-backbone, 4, 817624, 0
examples/ractive, 105, 114424, 0
examples/atmajs, 20, 941120, 0
examples/exoskeleton, 5, -715984, 0
examples/sapui5, 5, -149672, 0
examples/angularjs-perf, 5, 874992, 0
examples/enyo_backbone, 5, -102160, 0
examples/extjs_deftjs, 30, 379360, 0
examples/rappidjs, 5, 599448, 0
examples/dijon, 4, 884456, 0
examples/olives, 5, -536808, 0
examples/puremvc, 5, 1308040, 0
examples/kendo, 194, 1370080, 5
examples/duel/www, 5, 533744, 0
examples/somajs, 5, 100280, 0
examples/epitome, 5, 125680, 0
examples/sammyjs, 6, 1216544, 0
examples/cujo/index.html, 5, 717176, 0
examples/lavaca_require, 30, -1006032, 0
examples/durandal, 2, 317736, 0
examples/somajs_require, 5, 630776, 0
examples/thorax_lumbar/public, 170, -11120, 0
examples/canjs_require, 5, 1482328, 0
examples/knockoutjs_require, 5, 77760, 0
examples/backbone_require, 3, -682000, 0
examples/chaplin-brunch/public, 5, -138096, 0
examples/thorax, 177, 547088, 0
examples/reagent, 5, 831056, 0
examples/serenadejs, 5, -150816, 0
examples/typescript-angular, -15, 116408, 0
examples/typescript-backbone, 2, 935264, 0
examples/angular-dart/web, 4, -2613816, 0
examples/elm, 5, -520936, 0
examples/closure, 2, 1167376, 0
examples/vanilladart/build/web, 5, 115880, 0
examples/spine, 4, 232168, 0
examples/troopjs_require, 8, 699896, 0
examples/backbone_marionette, 4, 23368, 0
examples/vue, 5, 286040, 0
examples/ampersand, 5, 1779880, 0
examples/mithril, 5, -674832, 0
examples/dojo, 2, 962192, 0
examples/knockoutjs, 5, 521696, 0
examples/emberjs, 60, -711472, 0
examples/angularjs, 5, -265696, 0
examples/backbone, 3, 46768, 0
examples/canjs, 5, 128592, 0
examples/react, 6, 663888, 0
examples/flight, 9, -271712, 0
examples/angularjs_require, -15, -445568, 0
