framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1448920, 0
examples/webrx, 105, 1069304, 40
examples/foam, 6, -61448, -2
examples/aurelia, 5, -68456, 0
examples/react-backbone, 6, 547176, 0
examples/ractive, 105, -6264, 0
examples/atmajs, 17, -21472, 0
examples/exoskeleton, 5, -713544, 0
examples/sapui5, 5, 232536, 0
examples/angularjs-perf, -15, 67336, 0
examples/enyo_backbone, 5, 916040, 0
examples/extjs_deftjs, 30, -590128, 0
examples/rappidjs, 5, 441728, 0
examples/dijon, 4, -357936, 0
examples/olives, 5, 537560, 0
examples/puremvc, 5, 489984, 0
examples/kendo, 194, 1031760, 5
examples/duel/www, 4, 570632, 0
examples/somajs, 5, 1095224, 0
examples/epitome, 3, -69472, 0
examples/sammyjs, 6, 113936, 0
examples/cujo/index.html, -13, 59944, -4
examples/lavaca_require, 59, 201672, 0
examples/durandal, 5, -163264, 0
examples/somajs_require, 5, 926952, 0
examples/thorax_lumbar/public, 172, -103976, 0
examples/canjs_require, 5, 736536, 0
examples/knockoutjs_require, 4, 1101680, 0
examples/backbone_require, 2, 85816, 0
examples/chaplin-brunch/public, 2, 71200, 0
examples/thorax, 175, 12288, 0
examples/reagent, -9, 886568, 0
examples/serenadejs, 5, 663536, 0
examples/typescript-angular, 5, -146984, 0
examples/typescript-backbone, 2, 407144, 0
examples/angular-dart/web, 5, -2453480, 0
examples/elm, 2, -528680, 0
examples/closure, 2, 495520, 0
examples/vanilladart/build/web, 5, 230920, 0
examples/spine, 4, -297592, 0
examples/troopjs_require, 8, -322264, 0
examples/backbone_marionette, 5, 143128, 0
examples/vue, 5, 23200, 0
examples/ampersand, 4, 1270568, 0
examples/mithril, 5, 662216, 0
examples/dojo, 8, -343208, 0
examples/knockoutjs, 5, 249640, 0
examples/emberjs, 60, -899952, 0
examples/angularjs, 5, -99920, 0
examples/backbone, 5, 115760, 0
examples/canjs, 5, 1045472, 0
examples/react, 6, -298664, 0
examples/flight, 10, 462336, 0
examples/angularjs_require, -15, 1015208, 0
