framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -525784, 0
examples/webrx, 105, 1645920, 40
examples/foam, 5, -160040, 0
examples/aurelia, 6, -774392, 0
examples/react-backbone, 5, 987352, 0
examples/ractive, 105, -245024, 0
examples/atmajs, 17, -217976, 0
examples/exoskeleton, 5, 393560, 0
examples/sapui5, 5, 552912, 0
examples/angularjs-perf, -15, 932304, 0
examples/enyo_backbone, 9, -216976, 0
examples/extjs_deftjs, 30, 943408, 0
examples/rappidjs, 5, 1105712, 0
examples/dijon, 5, -162040, 0
examples/olives, 5, 14808, 0
examples/puremvc, 5, 296832, 0
examples/kendo, 194, 204296, 5
examples/duel/www, 5, 18280, 0
examples/somajs, 5, 66224, 0
examples/epitome, 3, -148448, 0
examples/sammyjs, 11, -651576, 0
examples/cujo/index.html, -12, -38088, -4
examples/lavaca_require, 30, 127456, 0
examples/durandal, 5, -298392, 0
examples/somajs_require, 5, 764528, 0
examples/thorax_lumbar/public, 170, 78160, 0
examples/canjs_require, 5, 792032, 0
examples/knockoutjs_require, 5, -312128, 0
examples/backbone_require, 5, -45432, 0
examples/chaplin-brunch/public, 2, 316192, 0
examples/thorax, 175, 245208, 0
examples/reagent, -9, 1022688, 0
examples/serenadejs, 5, 1096608, 0
examples/typescript-angular, -15, 808696, 0
examples/typescript-backbone, 8, -73176, 0
examples/angular-dart/web, 5, -2431744, 0
examples/elm, -21, -476464, 0
examples/closure, -198, -1921456, 0
examples/vanilladart/build/web, 5, 1254240, 0
examples/spine, 5, -366376, 0
examples/troopjs_require, 10, -524848, 0
examples/backbone_marionette, 5, 382776, 0
examples/vue, 5, 736744, 0
examples/ampersand, 4, 218552, 0
examples/mithril, 5, -233544, 0
examples/dojo, 8, 342368, 0
examples/knockoutjs, 5, 83344, 0
examples/emberjs, 61, -1231888, 0
examples/angularjs, -15, 859024, 0
examples/backbone, 5, 48872, 0
examples/canjs, 5, -161272, 0
examples/react, 4, 138736, 0
examples/flight, 9, -305840, 0
examples/angularjs_require, -15, -378632, 0
