framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, 1408312, 0
examples/webrx, 105, 920664, 40
examples/foam, 4, -202056, 0
examples/aurelia, 5, -585808, 0
examples/react-backbone, 5, -287448, 0
examples/ractive, 105, -6496, 0
examples/atmajs, 17, -10256, 0
examples/exoskeleton, 5, -34952, 0
examples/sapui5, -10, -1270888, 0
examples/angularjs-perf, -15, 406856, 0
examples/enyo_backbone, 5, 1292664, 0
examples/extjs_deftjs, 30, 836696, 0
examples/rappidjs, 5, 86128, 0
examples/dijon, 4, 928384, 0
examples/olives, 5, -351072, 0
examples/puremvc, 5, 1348296, 0
examples/kendo, 194, 245656, 5
examples/duel/www, 5, 1304872, 0
examples/somajs, 3, 1466560, 0
examples/epitome, 3, 429056, 0
examples/sammyjs, 5, 144624, 0
examples/cujo/index.html, -13, 879616, -4
examples/lavaca_require, 30, -560376, 0
examples/durandal, 5, 61400, 0
examples/somajs_require, 5, 806128, 0
examples/thorax_lumbar/public, 170, 275344, 0
examples/canjs_require, 5, 310200, 0
examples/knockoutjs_require, 6, -331792, 0
examples/backbone_require, 6, 164632, 0
examples/chaplin-brunch/public, 5, 849160, 0
examples/thorax, 175, 364208, 0
examples/reagent, 5, 445144, 0
examples/serenadejs, 5, 513088, 0
examples/typescript-angular, -15, 967384, 0
examples/typescript-backbone, 5, -173712, 0
examples/angular-dart/web, 4, -2281944, 0
examples/elm, 28, -726152, 0
examples/closure, -224, -1474496, 0
examples/vanilladart/build/web, 5, 1145216, 0
examples/spine, 4, 38048, 0
examples/troopjs_require, 10, -439920, 0
examples/backbone_marionette, 4, 1055472, 0
examples/vue, 21, 1594584, 0
examples/ampersand, 4, 562584, 0
examples/mithril, 4, 507232, 0
examples/dojo, 8, 996360, 0
examples/knockoutjs, 5, 163808, 0
examples/emberjs, 60, -806296, 0
examples/angularjs, -15, -258144, 0
examples/backbone, 2, 683928, 0
examples/canjs, 5, -311352, 0
examples/react, 5, 617512, 0
examples/flight, 9, -419272, 0
examples/angularjs_require, -15, -55832, 0
