framework,node delta,jsHeapSizeUsed delta, jsEventListener delta
examples/angular2, 5, -558400, 0
examples/webrx, 105, 1526120, 40
examples/foam, -11, -512640, -5
examples/aurelia, 5, 278904, 0
examples/react-backbone, 5, -489768, 0
examples/ractive, 105, 10304, 0
examples/atmajs, 20, -170432, 0
examples/exoskeleton, 5, -511592, 0
examples/sapui5, 5, -74640, 0
examples/angularjs-perf, -15, 908392, 0
examples/enyo_backbone, 5, 664376, 0
examples/extjs_deftjs, 30, 195752, 0
examples/rappidjs, 5, -477440, 0
examples/dijon, 5, 811864, 0
examples/olives, 5, 270888, 0
examples/puremvc, 5, 532944, 0
examples/kendo, 194, 329176, 5
examples/duel/www, 5, -66160, 0
examples/somajs, 5, 100880, 0
examples/epitome, 3, 200064, 0
examples/sammyjs, 5, -144440, 0
examples/cujo/index.html, -12, 526328, -4
examples/lavaca_require, 30, -169864, 0
examples/durandal, 4, 252656, 0
examples/somajs_require, 5, 836600, 0
examples/thorax_lumbar/public, 168, 560560, 0
examples/canjs_require, 5, 391912, 0
examples/knockoutjs_require, 5, -102376, 0
examples/backbone_require, 3, 120472, 0
examples/chaplin-brunch/public, 2, -196016, 0
examples/thorax, 175, 473048, 0
examples/reagent, 5, 1293552, 0
examples/serenadejs, 5, -442624, 0
examples/typescript-angular, -15, -154928, 0
examples/typescript-backbone, 2, 940384, 0
examples/angular-dart/web, 4, -2702280, 0
examples/elm, 28, -726272, 0
examples/closure, 5, 366048, 0
examples/vanilladart/build/web, 5, 170120, 0
examples/spine, 4, 216504, 0
examples/troopjs_require, 8, 171792, 0
examples/backbone_marionette, 5, 274384, 0
examples/vue, 3, 329720, 0
examples/ampersand, 4, 71072, 0
examples/mithril, 5, 610000, 0
examples/dojo, 8, -156464, 0
examples/knockoutjs, 5, 235608, 0
examples/emberjs, 59, -1459792, 0
examples/angularjs, -17, 608184, 0
examples/backbone, 2, -104176, 0
examples/canjs, 5, -76936, 0
examples/react, 5, 781904, 0
examples/flight, 9, -618600, 0
examples/angularjs_require, -15, 115768, 0
